;precisao@5;precisao@10
1;0.0;0.3
2;0.2;0.2
3;0.2;0.2
4;0.4;0.2
5;0.4;0.5
6;0.4;0.3
7;0.4;0.2
8;0.2;0.2
9;0.2;0.3
10;0.4;0.3
11;0.8;0.6
12;0.0;0.0
13;0.2;0.1
14;0.4;0.3
15;0.6;0.4
16;0.6;0.4
17;0.4;0.4
18;0.4;0.4
19;0.0;0.0
20;0.6;0.6
21;0.6;0.5
22;0.8;0.5
23;0.0;0.0
24;0.4;0.2
25;0.4;0.3
26;0.4;0.6
27;0.4;0.2
28;0.2;0.4
29;0.2;0.2
30;0.4;0.4
31;0.6;0.6
32;0.6;0.3
33;0.4;0.4
34;0.8;0.4
35;0.2;0.2
36;0.2;0.1
37;0.4;0.5
38;0.4;0.3
39;0.4;0.4
40;1.0;0.5
41;0.0;0.1
42;1.0;0.7
43;0.8;0.8
44;0.2;0.3
45;0.4;0.3
46;0.8;0.4
47;0.0;0.0
48;0.2;0.1
49;0.8;0.5
50;0.4;0.4
51;0.2;0.5
52;0.2;0.1
53;0.4;0.3
54;0.4;0.5
55;0.0;0.0
56;0.4;0.3
57;0.6;0.7
58;0.2;0.3
59;0.6;0.5
60;0.2;0.2
61;0.8;0.7
62;0.2;0.3
63;0.2;0.2
64;0.2;0.1
65;0.2;0.3
66;0.0;0.2
67;0.0;0.2
68;0.8;0.4
69;0.2;0.1
70;0.4;0.3
71;0.4;0.2
72;0.2;0.3
73;0.4;0.2
74;0.2;0.1
75;0.8;0.6
76;0.4;0.2
77;0.2;0.1
78;0.4;0.2
79;0.2;0.2
80;0.6;0.3
81;0.6;0.5
82;0.4;0.4
83;0.4;0.2
84;1.0;0.6
85;0.2;0.3
86;0.4;0.4
87;0.2;0.1
88;0.2;0.1
89;0.6;0.5
90;1.0;0.7
91;0.8;0.6
92;1.0;0.6
93;0.0;0.0
94;0.4;0.3
95;0.6;0.3
96;0.4;0.4
97;0.8;0.5
98;0.2;0.2
99;0.6;0.3
100;0.6;0.3
